Asia/Bangkok,Open,High,Low,Close,Volume
2026-07-24T00:00:00+07:00,4051.395,4051.645,4050.365,4051.155,44400
2026-07-24T00:01:00+07:00,4051.165,4054.465,4051.055,4053.775,42900
2026-07-24T00:02:00+07:00,4053.755,4054.015,4050.615,4052.345,46020
2026-07-24T00:03:00+07:00,4052.355,4053.515,4052.355,4053.045,39240
2026-07-24T00:04:00+07:00,4053.065,4053.065,4051.055,4051.405,36720
2026-07-24T00:05:00+07:00,4051.435,4052.975,4051.305,4052.645,34440
2026-07-24T00:06:00+07:00,4052.625,4053.025,4050.285,4050.435,53640
2026-07-24T00:07:00+07:00,4050.435,4050.435,4048.805,4048.865,38100
2026-07-24T00:08:00+07:00,4048.865,4049.555,4047.665,4048.095,42000
2026-07-24T00:09:00+07:00,4048.095,4048.285,4046.725,4047.835,40620
2026-07-24T00:10:00+07:00,4047.885,4049.265,4047.385,4048.675,39660
2026-07-24T00:11:00+07:00,4048.595,4048.735,4046.945,4047.665,37860
2026-07-24T00:12:00+07:00,4047.565,4047.955,4046.935,4047.265,40080
2026-07-24T00:13:00+07:00,4047.345,4048.415,4047.255,4047.695,35220
2026-07-24T00:14:00+07:00,4047.665,4048.425,4046.685,4047.005,34020
2026-07-24T00:15:00+07:00,4047.185,4048.675,4046.505,4048.675,37680
2026-07-24T00:16:00+07:00,4048.715,4049.515,4048.025,4048.975,36360
2026-07-24T00:17:00+07:00,4048.995,4049.385,4046.605,4046.905,41970
2026-07-24T00:18:00+07:00,4047.125,4047.955,4046.875,4047.325,38040
2026-07-24T00:19:00+07:00,4047.325,4047.545,4045.915,4046.415,35250
2026-07-24T00:20:00+07:00,4046.375,4048.605,4046.375,4048.605,45360
2026-07-24T00:21:00+07:00,4048.655,4050.385,4048.655,4048.925,45060
2026-07-24T00:22:00+07:00,4048.935,4049.155,4047.825,4048.385,34800
2026-07-24T00:23:00+07:00,4048.425,4049.345,4047.505,4049.135,35100
2026-07-24T00:24:00+07:00,4049.165,4049.715,4047.795,4048.605,43920
2026-07-24T00:25:00+07:00,4048.585,4049.635,4048.115,4048.155,41640
2026-07-24T00:26:00+07:00,4048.155,4048.625,4047.345,4047.795,34800
2026-07-24T00:27:00+07:00,4047.685,4048.405,4046.355,4047.505,41160
2026-07-24T00:28:00+07:00,4047.515,4048.725,4046.985,4048.125,35940
2026-07-24T00:29:00+07:00,4048.125,4049.015,4046.685,4047.025,65790
2026-07-24T00:30:00+07:00,4047.065,4047.925,4046.515,4047.925,44760
2026-07-24T00:31:00+07:00,4047.905,4049.015,4046.945,4047.735,45480
2026-07-24T00:32:00+07:00,4047.755,4048.615,4047.415,4047.555,36000
2026-07-24T00:33:00+07:00,4047.605,4048.535,4047.405,4047.405,33300
2026-07-24T00:34:00+07:00,4047.425,4048.255,4047.295,4047.305,30840
2026-07-24T00:35:00+07:00,4047.265,4047.375,4044.375,4044.815,37770
2026-07-24T00:36:00+07:00,4044.815,4045.625,4044.475,4044.675,38820
2026-07-24T00:37:00+07:00,4044.675,4045.705,4044.645,4045.025,26640
2026-07-24T00:38:00+07:00,4045.095,4046.095,4044.785,4044.955,34380
2026-07-24T00:39:00+07:00,4045.005,4045.645,4043.945,4044.575,33840
2026-07-24T00:40:00+07:00,4044.605,4045.305,4041.675,4042.375,45360
2026-07-24T00:41:00+07:00,4042.395,4044.695,4042.295,4044.635,37920
2026-07-24T00:42:00+07:00,4044.665,4045.135,4043.675,4044.115,29040
2026-07-24T00:43:00+07:00,4044.145,4045.235,4044.125,4044.355,33960
2026-07-24T00:44:00+07:00,4044.265,4044.355,4042.555,4042.705,30300
2026-07-24T00:45:00+07:00,4042.685,4044.205,4041.925,4043.515,42180
2026-07-24T00:46:00+07:00,4043.535,4043.925,4042.875,4043.545,32940
2026-07-24T00:47:00+07:00,4043.545,4044.075,4043.305,4043.435,29760
2026-07-24T00:48:00+07:00,4043.435,4043.705,4042.495,4043.405,26940
2026-07-24T00:49:00+07:00,4043.325,4044.135,4043.135,4044.035,25740
2026-07-24T00:50:00+07:00,4044.015,4044.135,4043.055,4043.825,29760
2026-07-24T00:51:00+07:00,4043.715,4043.845,4043.025,4043.415,32700
2026-07-24T00:52:00+07:00,4043.415,4043.485,4042.325,4042.635,34560
2026-07-24T00:53:00+07:00,4042.685,4042.995,4041.765,4042.665,29460
2026-07-24T00:54:00+07:00,4042.705,4043.455,4042.315,4042.805,28860
2026-07-24T00:55:00+07:00,4042.835,4043.325,4042.635,4043.245,31620
2026-07-24T00:56:00+07:00,4043.255,4043.255,4042.115,4042.275,30840
2026-07-24T00:57:00+07:00,4042.295,4043.095,4041.655,4042.145,38340
